date,product_id,category,region,channel,sales,units_sold,promotion_flag,discount_rate,campaign_name,promotion_cost
2025-01-04,HAI-W,Haircare,West,Shopee,1350.0,75,0,0.0,No Campaign,0.0
2025-01-04,FRA-N,Fragrance,North,Retail,3060.0,68,0,0.0,No Campaign,0.0
2025-01-04,FRA-S,Fragrance,South,Shopee,3015.0,67,0,0.0,No Campaign,0.0
2025-01-04,FRA-E,Fragrance,East,Brand.com,3825.0,85,0,0.0,No Campaign,0.0
2025-01-04,FRA-W,Fragrance,West,Brand.com,3138.75,93,1,0.25,Spring Promo,218.08
2025-01-05,SKI-N,Skincare,North,Retail,4137.0,197,1,0.25,Bundle Deal,1049.22
2025-01-05,SKI-S,Skincare,South,Amazon,3808.0,136,0,0.0,No Campaign,0.0
2025-01-05,SKI-E,Skincare,East,Amazon,3500.0,125,0,0.0,No Campaign,0.0
2025-01-05,SKI-W,Skincare,West,Retail,3852.8,172,1,0.2,Flash Sale,550.08
2025-01-05,MAK-N,Makeup,North,Retail,2464.0,112,0,0.0,No Campaign,0.0
2025-01-05,MAK-S,Makeup,South,Brand.com,1738.0,79,0,0.0,No Campaign,0.0
2025-01-05,MAK-E,Makeup,East,Shopee,2156.0,98,0,0.0,No Campaign,0.0
2025-01-05,MAK-W,Makeup,West,Brand.com,2068.0,94,0,0.0,No Campaign,0.0
2025-01-05,HAI-N,Haircare,North,Shopee,1656.0,115,1,0.2,Spring Promo,585.1
2025-01-05,HAI-S,Haircare,South,Amazon,1548.0,86,0,0.0,No Campaign,0.0
2025-01-05,HAI-E,Haircare,East,Brand.com,1314.0,73,0,0.0,No Campaign,0.0
2025-01-05,HAI-W,Haircare,West,Retail,1314.0,73,0,0.0,No Campaign,0.0
2025-01-05,FRA-N,Fragrance,North,Shopee,3510.0,78,0,0.0,No Campaign,0.0
2025-01-05,FRA-S,Fragrance,South,Amazon,2916.0,72,1,0.1,Member Day,908.91
2025-01-05,FRA-E,Fragrance,East,Shopee,3384.0,94,1,0.2,Flash Sale,1067.07
2025-01-05,FRA-W,Fragrance,West,Brand.com,2880.0,64,0,0.0,No Campaign,0.0
2025-01-06,SKI-N,Skincare,North,Retail,3752.0,134,0,0.0,No Campaign,0.0
2025-01-06,SKI-S,Skincare,South,Amazon,3248.0,116,0,0.0,No Campaign,0.0
2025-01-06,SKI-E,Skincare,East,Shopee,3360.0,120,0,0.0,No Campaign,0.0
2025-01-06,SKI-W,Skincare,West,Amazon,3024.0,108,0,0.0,No Campaign,0.0
2025-01-06,MAK-N,Makeup,North,Brand.com,2178.0,99,0,0.0,No Campaign,0.0
2025-01-06,MAK-S,Makeup,South,Retail,2002.0,91,0,0.0,No Campaign,0.0
2025-01-06,MAK-E,Makeup,East,Shopee,2200.0,100,0,0.0,No Campaign,0.0
2025-01-06,MAK-W,Makeup,West,Brand.com,1584.0,72,0,0.0,No Campaign,0.0
2025-01-06,HAI-N,Haircare,North,Retail,2088.0,116,0,0.0,No Campaign,0.0
2025-01-06,HAI-S,Haircare,South,Brand.com,1764.0,98,0,0.0,No Campaign,0.0
2025-01-06,HAI-E,Haircare,East,Retail,1687.5,125,1,0.25,Flash Sale,522.96
2025-01-06,HAI-W,Haircare,West,Amazon,1476.0,82,0,0.0,No Campaign,0.0
2025-01-06,FRA-N,Fragrance,North,Amazon,2700.0,75,1,0.2,Member Day,895.97
2025-01-06,FRA-S,Fragrance,South,Amazon,2340.0,52,0,0.0,No Campaign,0.0
2025-01-06,FRA-E,Fragrance,East,Brand.com,2115.0,47,0,0.0,No Campaign,0.0
2025-01-06,FRA-W,Fragrance,West,Brand.com,2925.0,65,0,0.0,No Campaign,0.0
2025-01-07,SKI-N,Skincare,North,Brand.com,3248.0,116,0,0.0,No Campaign,0.0
2025-01-07,SKI-S,Skincare,South,Retail,3808.0,136,0,0.0,No Campaign,0.0
2025-01-07,SKI-E,Skincare,East,Amazon,4082.4,162,1,0.1,Spring Promo,316.07
2025-01-07,SKI-W,Skincare,West,Shopee,3603.6,143,1,0.1,Member Day,546.3
2025-01-07,MAK-N,Makeup,North,Amazon,2706.0,123,0,0.0,No Campaign,0.0
2025-01-07,MAK-S,Makeup,South,Amazon,2332.0,106,0,0.0,No Campaign,0.0
2025-01-07,MAK-E,Makeup,East,Shopee,2486.0,113,0,0.0,No Campaign,0.0
2025-01-07,MAK-W,Makeup,West,Brand.com,1870.0,85,0,0.0,No Campaign,0.0
2025-01-07,HAI-N,Haircare,North,Brand.com,1530.0,85,0,0.0,No Campaign,0.0
2025-01-07,HAI-S,Haircare,South,Brand.com,1368.0,76,0,0.0,No Campaign,0.0
2025-01-07,HAI-E,Haircare,East,Shopee,1854.0,103,0,0.0,No Campaign,0.0
2025-01-07,HAI-W,Haircare,West,Brand.com,1468.8,102,1,0.2,Spring Promo,825.94
2025-01-07,FRA-N,Fragrance,North,Brand.com,3240.0,96,1,0.25,Spring Promo,269.36
2025-01-07,FRA-S,Fragrance,South,Amazon,2205.0,49,0,0.0,No Campaign,0.0
2025-01-07,FRA-E,Fragrance,East,Brand.com,2475.0,55,0,0.0,No Campaign,0.0
2025-01-07,FRA-W,Fragrance,West,Amazon,2880.0,64,0,0.0,No Campaign,0.0
2025-01-08,SKI-N,Skincare,North,Shopee,3808.0,136,0,0.0,No Campaign,0.0
2025-01-08,SKI-S,Skincare,South,Retail,4116.0,196,1,0.25,Flash Sale,623.47
2025-01-08,SKI-E,Skincare,East,Shopee,4683.0,223,1,0.25,Bundle Deal,572.02
2025-01-08,SKI-W,Skincare,West,Retail,3388.0,121,0,0.0,No Campaign,0.0
2025-01-08,MAK-N,Makeup,North,Amazon,2712.6,137,1,0.1,Member Day,303.12
2025-01-08,MAK-S,Makeup,South,Retail,2222.0,101,0,0.0,No Campaign,0.0
2025-01-08,MAK-E,Makeup,East,Amazon,2112.0,96,0,0.0,No Campaign,0.0
2025-01-08,MAK-W,Makeup,West,Brand.com,1716.0,78,0,0.0,No Campaign,0.0
2025-01-08,HAI-N,Haircare,North,Retail,1404.0,78,0,0.0,No Campaign,0.0
2025-01-08,HAI-S,Haircare,South,Brand.com,1818.0,101,0,0.0,No Campaign,0.0
2025-01-08,HAI-E,Haircare,East,Shopee,1674.0,93,0,0.0,No Campaign,0.0
2025-01-08,HAI-W,Haircare,West,Shopee,1440.0,80,0,0.0,No Campaign,0.0
2025-01-08,FRA-N,Fragrance,North,Shopee,2970.0,66,0,0.0,No Campaign,0.0
2025-01-08,FRA-S,Fragrance,South,Shopee,2754.0,68,1,0.1,Member Day,905.83
2025-01-08,FRA-E,Fragrance,East,Amazon,3071.25,91,1,0.25,Spring Promo,301.12
2025-01-08,FRA-W,Fragrance,West,Brand.com,2409.75,63,1,0.15,Spring Promo,713.33
2025-01-09,SKI-N,Skincare,North,Retail,4060.0,145,0,0.0,No Campaign,0.0
2025-01-09,SKI-S,Skincare,South,Retail,3553.2,141,1,0.1,Bundle Deal,550.22
2025-01-09,SKI-E,Skincare,East,Amazon,3998.4,168,1,0.15,Member Day,624.22
2025-01-09,SKI-W,Skincare,West,Retail,3948.0,188,1,0.25,Spring Promo,1022.79
2025-01-09,MAK-N,Makeup,North,Shopee,2266.0,103,0,0.0,No Campaign,0.0
2025-01-09,MAK-S,Makeup,South,Shopee,2090.0,95,0,0.0,No Campaign,0.0
2025-01-09,MAK-E,Makeup,East,Retail,2200.0,100,0,0.0,No Campaign,0.0
2025-01-09,MAK-W,Makeup,West,Retail,2178.0,132,1,0.25,Member Day,895.41
2025-01-09,HAI-N,Haircare,North,Shopee,1476.0,82,0,0.0,No Campaign,0.0
2025-01-09,HAI-S,Haircare,South,Retail,1764.0,98,0,0.0,No Campaign,0.0
2025-01-09,HAI-E,Haircare,East,Brand.com,2057.4,127,1,0.1,Member Day,480.96
2025-01-09,HAI-W,Haircare,West,Brand.com,1116.0,62,0,0.0,No Campaign,0.0
2025-01-09,FRA-N,Fragrance,North,Shopee,2520.0,56,0,0.0,No Campaign,0.0
2025-01-09,FRA-S,Fragrance,South,Retail,2610.0,58,0,0.0,No Campaign,0.0
2025-01-09,FRA-E,Fragrance,East,Brand.com,1800.0,40,0,0.0,No Campaign,0.0
2025-01-09,FRA-W,Fragrance,West,Brand.com,2610.0,58,0,0.0,No Campaign,0.0
2025-01-10,SKI-N,Skincare,North,Brand.com,3248.0,116,0,0.0,No Campaign,0.0
2025-01-10,SKI-S,Skincare,South,Amazon,4211.2,188,1,0.2,Spring Promo,364.83
2025-01-10,SKI-E,Skincare,East,Retail,4473.0,213,1,0.25,Member Day,350.42
2025-01-10,SKI-W,Skincare,West,Shopee,3472.0,124,0,0.0,No Campaign,0.0
2025-01-10,MAK-N,Makeup,North,Brand.com,1870.0,85,0,0.0,No Campaign,0.0
2025-01-10,MAK-S,Makeup,South,Brand.com,1826.0,83,0,0.0,No Campaign,0.0
2025-01-10,MAK-E,Makeup,East,Amazon,3256.0,185,1,0.2,Spring Promo,1196.64
2025-01-10,MAK-W,Makeup,West,Shopee,1958.0,89,0,0.0,No Campaign,0.0
2025-01-10,HAI-N,Haircare,North,Shopee,1278.0,71,0,0.0,No Campaign,0.0
2025-01-10,HAI-S,Haircare,South,Amazon,1530.0,100,1,0.15,Bundle Deal,468.67
2025-01-10,HAI-E,Haircare,East,Brand.com,1530.0,85,0,0.0,No Campaign,0.0
2025-01-10,HAI-W,Haircare,West,Shopee,1971.0,146,1,0.25,Spring Promo,288.41
2025-01-10,FRA-N,Fragrance,North,Retail,3735.0,83,0,0.0,No Campaign,0.0
2025-01-10,FRA-S,Fragrance,South,Amazon,3577.5,106,1,0.25,Bundle Deal,1180.46
2025-01-10,FRA-E,Fragrance,East,Brand.com,3285.0,73,0,0.0,No Campaign,0.0
2025-01-10,FRA-W,Fragrance,West,Shopee,2340.0,52,0,0.0,No Campaign,0.0
2025-01-11,SKI-N,Skincare,North,Amazon,4011.0,191,1,0.25,Flash Sale,822.09
2025-01-11,SKI-S,Skincare,South,Amazon,3164.0,113,0,0.0,No Campaign,0.0
2025-01-11,SKI-E,Skincare,East,Retail,3080.0,110,0,0.0,No Campaign,0.0
2025-01-11,SKI-W,Skincare,West,Retail,3248.0,116,0,0.0,No Campaign,0.0
2025-01-11,MAK-N,Makeup,North,Brand.com,2002.0,91,0,0.0,No Campaign,0.0
2025-01-11,MAK-S,Makeup,South,Brand.com,2112.0,96,0,0.0,No Campaign,0.0
2025-01-11,MAK-E,Makeup,East,Amazon,1914.0,87,0,0.0,No Campaign,0.0
2025-01-11,MAK-W,Makeup,West,Shopee,2002.0,91,0,0.0,No Campaign,0.0
2025-01-11,HAI-N,Haircare,North,Shopee,1404.0,78,0,0.0,No Campaign,0.0
2025-01-11,HAI-S,Haircare,South,Shopee,1242.0,69,0,0.0,No Campaign,0.0
2025-01-11,HAI-E,Haircare,East,Amazon,1386.0,77,0,0.0,No Campaign,0.0
2025-01-11,HAI-W,Haircare,West,Retail,1026.0,57,0,0.0,No Campaign,0.0
2025-01-11,FRA-N,Fragrance,North,Retail,3240.0,72,0,0.0,No Campaign,0.0
2025-01-11,FRA-S,Fragrance,South,Retail,3195.0,71,0,0.0,No Campaign,0.0
2025-01-11,FRA-E,Fragrance,East,Retail,3321.0,82,1,0.1,Spring Promo,476.88
2025-01-11,FRA-W,Fragrance,West,Brand.com,2835.0,63,0,0.0,No Campaign,0.0
2025-01-12,SKI-N,Skincare,North,Brand.com,3164.0,113,0,0.0,No Campaign,0.0
2025-01-12,SKI-S,Skincare,South,Retail,3808.0,160,1,0.15,Flash Sale,347.74
2025-01-12,SKI-E,Skincare,East,Retail,4093.6,172,1,0.15,Member Day,732.11
2025-01-12,SKI-W,Skincare,West,Retail,2688.0,96,0,0.0,No Campaign,0.0
2025-01-12,MAK-N,Makeup,North,Brand.com,2112.0,96,0,0.0,No Campaign,0.0
2025-01-12,MAK-S,Makeup,South,Shopee,1694.0,77,0,0.0,No Campaign,0.0
2025-01-12,MAK-E,Makeup,East,Shopee,2464.0,112,0,0.0,No Campaign,0.0
2025-01-12,MAK-W,Makeup,West,Brand.com,2046.0,93,0,0.0,No Campaign,0.0
2025-01-12,HAI-N,Haircare,North,Shopee,1908.0,106,0,0.0,No Campaign,0.0
2025-01-12,HAI-S,Haircare,South,Amazon,1476.0,82,0,0.0,No Campaign,0.0
2025-01-12,HAI-E,Haircare,East,Amazon,1800.0,100,0,0.0,No Campaign,0.0
2025-01-12,HAI-W,Haircare,West,Retail,1008.0,56,0,0.0,No Campaign,0.0
2025-01-12,FRA-N,Fragrance,North,Amazon,2835.0,70,1,0.1,Spring Promo,437.23
2025-01-12,FRA-S,Fragrance,South,Retail,2497.5,74,1,0.25,Member Day,1042.31
2025-01-12,FRA-E,Fragrance,East,Brand.com,3015.0,67,0,0.0,No Campaign,0.0
2025-01-12,FRA-W,Fragrance,West,Amazon,2340.0,52,0,0.0,No Campaign,0.0
2025-01-13,SKI-N,Skincare,North,Shopee,3864.0,138,0,0.0,No Campaign,0.0
2025-01-13,SKI-S,Skincare,South,Retail,2856.0,102,0,0.0,No Campaign,0.0
2025-01-13,SKI-E,Skincare,East,Amazon,3836.0,137,0,0.0,No Campaign,0.0
2025-01-13,SKI-W,Skincare,West,Brand.com,3759.0,179,1,0.25,Member Day,399.51
2025-01-13,MAK-N,Makeup,North,Shopee,1892.0,86,0,0.0,No Campaign,0.0
2025-01-13,MAK-S,Makeup,South,Retail,2178.0,99,0,0.0,No Campaign,0.0
2025-01-13,MAK-E,Makeup,East,Amazon,2002.0,91,0,0.0,No Campaign,0.0
2025-01-13,MAK-W,Makeup,West,Shopee,1892.0,86,0,0.0,No Campaign,0.0
2025-01-13,HAI-N,Haircare,North,Shopee,1440.0,80,0,0.0,No Campaign,0.0
2025-01-13,HAI-S,Haircare,South,Shopee,1530.0,85,0,0.0,No Campaign,0.0
2025-01-13,HAI-E,Haircare,East,Amazon,972.0,54,0,0.0,No Campaign,0.0
2025-01-13,HAI-W,Haircare,West,Shopee,1116.0,62,0,0.0,No Campaign,0.0
2025-01-13,FRA-N,Fragrance,North,Retail,3307.5,98,1,0.25,Flash Sale,324.3
2025-01-13,FRA-S,Fragrance,South,Retail,3408.75,101,1,0.25,Flash Sale,248.09
2025-01-13,FRA-E,Fragrance,East,Amazon,3595.5,94,1,0.15,Bundle Deal,363.66
2025-01-13,FRA-W,Fragrance,West,Brand.com,2592.0,64,1,0.1,Spring Promo,788.31
2025-01-14,SKI-N,Skincare,North,Amazon,3444.0,123,0,0.0,No Campaign,0.0
2025-01-14,SKI-S,Skincare,South,Retail,2436.0,87,0,0.0,No Campaign,0.0
2025-01-14,SKI-E,Skincare,East,Retail,3612.0,129,0,0.0,No Campaign,0.0
2025-01-14,SKI-W,Skincare,West,Shopee,2940.0,105,0,0.0,No Campaign,0.0
2025-01-14,MAK-N,Makeup,North,Brand.com,2657.6,151,1,0.2,Member Day,316.9
2025-01-14,MAK-S,Makeup,South,Retail,2134.0,97,0,0.0,No Campaign,0.0
2025-01-14,MAK-E,Makeup,East,Brand.com,2442.0,111,0,0.0,No Campaign,0.0
2025-01-14,MAK-W,Makeup,West,Shopee,2217.6,112,1,0.1,Spring Promo,906.98
2025-01-14,HAI-N,Haircare,North,Retail,1908.0,106,0,0.0,No Campaign,0.0
2025-01-14,HAI-S,Haircare,South,Shopee,1621.8,106,1,0.15,Flash Sale,736.48
2025-01-14,HAI-E,Haircare,East,Shopee,1782.0,99,0,0.0,No Campaign,0.0
2025-01-14,HAI-W,Haircare,West,Brand.com,1188.0,66,0,0.0,No Campaign,0.0
2025-01-14,FRA-N,Fragrance,North,Shopee,3442.5,90,1,0.15,Member Day,841.15
2025-01-14,FRA-S,Fragrance,South,Retail,3672.0,96,1,0.15,Flash Sale,542.52
2025-01-14,FRA-E,Fragrance,East,Shopee,2925.0,65,0,0.0,No Campaign,0.0
2025-01-14,FRA-W,Fragrance,West,Brand.com,3825.0,85,0,0.0,No Campaign,0.0
2025-01-15,SKI-N,Skincare,North,Amazon,4893.0,233,1,0.25,Bundle Deal,765.13
2025-01-15,SKI-S,Skincare,South,Amazon,3449.6,154,1,0.2,Flash Sale,268.92
2025-01-15,SKI-E,Skincare,East,Shopee,4736.2,199,1,0.15,Member Day,650.84
2025-01-15,SKI-W,Skincare,West,Retail,3760.4,158,1,0.15,Bundle Deal,987.79
2025-01-15,MAK-N,Makeup,North,Amazon,2508.0,114,0,0.0,No Campaign,0.0
2025-01-15,MAK-S,Makeup,South,Retail,2002.0,91,0,0.0,No Campaign,0.0
2025-01-15,MAK-E,Makeup,East,Retail,2059.2,104,1,0.1,Bundle Deal,424.6
2025-01-15,MAK-W,Makeup,West,Shopee,1826.0,83,0,0.0,No Campaign,0.0
2025-01-15,HAI-N,Haircare,North,Shopee,1701.0,105,1,0.1,Spring Promo,780.59
2025-01-15,HAI-S,Haircare,South,Amazon,1476.0,82,0,0.0,No Campaign,0.0
2025-01-15,HAI-E,Haircare,East,Shopee,1512.0,84,0,0.0,No Campaign,0.0
2025-01-15,HAI-W,Haircare,West,Amazon,1314.0,73,0,0.0,No Campaign,0.0
2025-01-15,FRA-N,Fragrance,North,Amazon,2844.0,79,1,0.2,Bundle Deal,1098.05
2025-01-15,FRA-S,Fragrance,South,Amazon,2988.0,83,1,0.2,Flash Sale,494.04
2025-01-15,FRA-E,Fragrance,East,Amazon,1710.0,38,0,0.0,No Campaign,0.0
2025-01-15,FRA-W,Fragrance,West,Retail,2058.75,61,1,0.25,Spring Promo,534.36
2025-01-16,SKI-N,Skincare,North,Brand.com,3948.0,141,0,0.0,No Campaign,0.0
2025-01-16,SKI-S,Skincare,South,Brand.com,3830.4,171,1,0.2,Bundle Deal,1039.79
2025-01-16,SKI-E,Skincare,East,Retail,3276.0,117,0,0.0,No Campaign,0.0
2025-01-16,SKI-W,Skincare,West,Brand.com,2772.0,99,0,0.0,No Campaign,0.0
2025-01-16,MAK-N,Makeup,North,Shopee,2156.0,98,0,0.0,No Campaign,0.0
2025-01-16,MAK-S,Makeup,South,Brand.com,2112.0,96,0,0.0,No Campaign,0.0
2025-01-16,MAK-E,Makeup,East,Brand.com,2398.0,109,0,0.0,No Campaign,0.0
2025-01-16,MAK-W,Makeup,West,Amazon,1848.0,112,1,0.25,Bundle Deal,1144.41
2025-01-16,HAI-N,Haircare,North,Amazon,1206.0,67,0,0.0,No Campaign,0.0
2025-01-16,HAI-S,Haircare,South,Retail,1960.2,121,1,0.1,Bundle Deal,535.87
2025-01-16,HAI-E,Haircare,East,Amazon,1674.0,93,0,0.0,No Campaign,0.0
2025-01-16,HAI-W,Haircare,West,Amazon,1117.8,69,1,0.1,Flash Sale,1061.07
2025-01-16,FRA-N,Fragrance,North,Shopee,4320.0,128,1,0.25,Spring Promo,1068.47
2025-01-16,FRA-S,Fragrance,South,Shopee,2520.0,56,0,0.0,No Campaign,0.0
2025-01-16,FRA-E,Fragrance,East,Retail,3960.0,88,0,0.0,No Campaign,0.0
2025-01-16,FRA-W,Fragrance,West,Amazon,2790.0,62,0,0.0,No Campaign,0.0
2025-01-17,SKI-N,Skincare,North,Amazon,3696.0,176,1,0.25,Flash Sale,725.69
2025-01-17,SKI-S,Skincare,South,Amazon,2912.0,104,0,0.0,No Campaign,0.0
2025-01-17,SKI-E,Skincare,East,Shopee,3640.0,130,0,0.0,No Campaign,0.0
2025-01-17,SKI-W,Skincare,West,Brand.com,2436.0,87,0,0.0,No Campaign,0.0
2025-01-17,MAK-N,Makeup,North,Shopee,2706.0,123,0,0.0,No Campaign,0.0
2025-01-17,MAK-S,Makeup,South,Amazon,2398.0,109,0,0.0,No Campaign,0.0
2025-01-17,MAK-E,Makeup,East,Retail,2225.3,119,1,0.15,Spring Promo,583.14
2025-01-17,MAK-W,Makeup,West,Shopee,1870.0,85,0,0.0,No Campaign,0.0
2025-01-17,HAI-N,Haircare,North,Brand.com,1440.0,80,0,0.0,No Campaign,0.0
2025-01-17,HAI-S,Haircare,South,Brand.com,1062.0,59,0,0.0,No Campaign,0.0
2025-01-17,HAI-E,Haircare,East,Amazon,1620.0,90,0,0.0,No Campaign,0.0
2025-01-17,HAI-W,Haircare,West,Brand.com,900.0,50,0,0.0,No Campaign,0.0
2025-01-17,FRA-N,Fragrance,North,Shopee,3037.5,75,1,0.1,Bundle Deal,414.94
2025-01-17,FRA-S,Fragrance,South,Shopee,2610.0,58,0,0.0,No Campaign,0.0
2025-01-17,FRA-E,Fragrance,East,Amazon,3240.0,80,1,0.1,Spring Promo,275.14
2025-01-17,FRA-W,Fragrance,West,Retail,3375.0,75,0,0.0,No Campaign,0.0
2025-01-18,SKI-N,Skincare,North,Brand.com,4233.6,168,1,0.1,Bundle Deal,894.7
2025-01-18,SKI-S,Skincare,South,Shopee,3225.6,128,1,0.1,Spring Promo,990.01
2025-01-18,SKI-E,Skincare,East,Brand.com,3864.0,138,0,0.0,No Campaign,0.0
2025-01-18,SKI-W,Skincare,West,Shopee,3052.0,109,0,0.0,No Campaign,0.0
2025-01-18,MAK-N,Makeup,North,Shopee,2508.0,114,0,0.0,No Campaign,0.0
2025-01-18,MAK-S,Makeup,South,Amazon,2161.5,131,1,0.25,Member Day,893.18
2025-01-18,MAK-E,Makeup,East,Retail,2288.0,104,0,0.0,No Campaign,0.0
2025-01-18,MAK-W,Makeup,West,Amazon,1914.0,87,0,0.0,No Campaign,0.0
2025-01-18,HAI-N,Haircare,North,Retail,2111.4,138,1,0.15,Member Day,897.42
2025-01-18,HAI-S,Haircare,South,Retail,1584.0,110,1,0.2,Flash Sale,254.88
2025-01-18,HAI-E,Haircare,East,Shopee,1490.4,92,1,0.1,Flash Sale,796.27
2025-01-18,HAI-W,Haircare,West,Amazon,1224.0,68,0,0.0,No Campaign,0.0
2025-01-18,FRA-N,Fragrance,North,Amazon,3982.5,118,1,0.25,Member Day,515.29
2025-01-18,FRA-S,Fragrance,South,Shopee,2655.0,59,0,0.0,No Campaign,0.0
